date,appendix,title
(2018-10-12),../CL1948/237168.html,佛山市宇森医疗器械有限公司对LED光固化机主动召回
(2018-10-09),../CL1948/236932.html,湛江市汇通药业有限公司对天然胶乳橡胶避孕套主动召回
(2018-10-09),../CL1948/236939.html,重庆三丰医疗器械有限公司主动召回
(2018-10-08),../CL1948/236915.html,罗氏诊断产品（上海）有限公司对电化学发光全自动免疫分析仪主动召回
(2018-10-08),../CL1948/236921.html,雷度米特医疗设备（上海）有限公司对血气分析仪主动召回
(2018-10-08),../CL1948/236914.html,雅培贸易（上海）有限公司对样本处理系统主动召回
(2018-10-08),../CL1948/236922.html,康蒂思（上海）医疗器械有限公司对聚六甲撑基双胍盐酸盐（PHMB）纱型敷料主动召回
(2018-10-08),../CL1948/236916.html,通用电气医疗系统贸易发展（上海）有限公司对磁共振成像系统主动召回
(2018-10-08),../CL1948/236912.html,强生（上海）医疗器材有限公司对骨关节手术器械主动召回
(2018-10-08),../CL1948/236911.html,雅培贸易（上海）有限公司对电解质检测电极块主动召回
(2018-10-08),../CL1948/236919.html,上海埃蒙迪材料科技股份有限公司对正畸托槽主动召回
(2018-10-08),../CL1948/236913.html,上海柏越医疗设备有限公司对半导体激光治疗仪主动召回
(2018-10-08),../CL1948/236918.html,雅培贸易（上海）有限公司对样本处理器主动召回
(2018-10-08),../CL1948/236917.html,西门子医学诊断产品（上海）有限公司对脂肪酶测定试剂盒主动召回
(2018-10-08),../CL1948/236920.html,罗氏诊断产品（上海）有限公司对血糖检测仪等产品主动召回
(2018-09-30),../CL1948/236820.html,广州市一统医药科技有限公司对天然胶乳橡胶避孕套主动召回
(2018-09-30),../CL1948/236856.html,"INOVA Diagnostics, Inc. 依诺瓦诊断公司对全自动免疫荧光显微镜主动召回"
(2018-09-30),../CL1948/236855.html,Air Liquide Medical Systems S.A. 对呼吸机主动召回
(2018-09-30),../CL1948/236821.html,东莞市医脉实业有限公司对腕式电子血压计主动召回
(2018-09-30),../CL1948/236822.html,广州南雪医疗器械有限公司对臂式电子血压计主动召回
